task_id,model,seed,free_form__absent__absent__advisory.strict_success,free_form__absent__absent__advisory.macro_state_f1,free_form__absent__absent__advisory.critical_errors,free_form__absent__absent__advisory.input_tokens,free_form__absent__executable__advisory.strict_success,free_form__absent__executable__advisory.macro_state_f1,free_form__absent__executable__advisory.critical_errors,free_form__absent__executable__advisory.input_tokens,free_form__trace_linked__absent__advisory.strict_success,free_form__trace_linked__absent__advisory.macro_state_f1,free_form__trace_linked__absent__advisory.critical_errors,free_form__trace_linked__absent__advisory.input_tokens,free_form__trace_linked__executable__advisory.strict_success,free_form__trace_linked__executable__advisory.macro_state_f1,free_form__trace_linked__executable__advisory.critical_errors,free_form__trace_linked__executable__advisory.input_tokens,typed__absent__absent__advisory.strict_success,typed__absent__absent__advisory.macro_state_f1,typed__absent__absent__advisory.critical_errors,typed__absent__absent__advisory.input_tokens,typed__absent__executable__advisory.strict_success,typed__absent__executable__advisory.macro_state_f1,typed__absent__executable__advisory.critical_errors,typed__absent__executable__advisory.input_tokens,typed__trace_linked__absent__advisory.strict_success,typed__trace_linked__absent__advisory.macro_state_f1,typed__trace_linked__absent__advisory.critical_errors,typed__trace_linked__absent__advisory.input_tokens,typed__trace_linked__executable__advisory.strict_success,typed__trace_linked__executable__advisory.macro_state_f1,typed__trace_linked__executable__advisory.critical_errors,typed__trace_linked__executable__advisory.input_tokens
cf_travel_03_stale,ministral3-14b-2512,404,1,0.41666666666666663,2,4915,1,0.41666666666666663,2,5004,1,0.41666666666666663,2,5233,1,0.41666666666666663,2,7912,1,0.41666666666666663,2,4912,1,0.41666666666666663,2,4975,1,0.41666666666666663,2,5226,1,0.41666666666666663,2,7870
cf_travel_03_unknown,ministral3-14b-2512,404,1,0.6666666666666666,1,4938,1,0.6666666666666666,1,5022,1,0.6666666666666666,1,5329,1,0.6666666666666666,1,5397,1,0.6666666666666666,1,4902,1,0.6666666666666666,1,4990,1,0.6666666666666666,1,5289,1,0.6666666666666666,1,5399
cf_travel_04_denied,ministral3-14b-2512,404,0,0.29166666666666663,3,9915,1,0.29166666666666663,3,2731,0,0.29166666666666663,3,10729,0,0.29166666666666663,3,11012,0,0.29166666666666663,3,9905,1,0.29166666666666663,3,2725,0,0.29166666666666663,3,10769,0,0.41666666666666663,2,10899
cf_travel_04_granted,ministral3-14b-2512,404,1,0.26666666666666666,3,2679,1,0.26666666666666666,3,2717,1,0.26666666666666666,3,2880,1,0.26666666666666666,3,2918,1,0.26666666666666666,3,2659,1,0.26666666666666666,3,2697,1,0.26666666666666666,3,2860,1,0.26666666666666666,3,2898
cf_travel_04_stale,ministral3-14b-2512,404,1,0.29166666666666663,3,7332,1,0.29166666666666663,3,7466,1,0.29166666666666663,3,8027,0,0.29166666666666663,3,11037,1,0.41666666666666663,2,7352,1,0.29166666666666663,3,7466,1,0.41666666666666663,2,10827,1,0.29166666666666663,3,8179
cf_travel_04_unknown,ministral3-14b-2512,404,1,0.5416666666666666,2,4890,1,0.5416666666666666,2,4966,0,0.5416666666666666,2,10540,0,0.5416666666666666,2,10657,1,0.6666666666666666,1,4848,1,0.5416666666666666,2,4928,1,0.5416666666666666,2,5189,0,0.6666666666666666,1,10494
cf_travel_05_denied,ministral3-14b-2512,404,0,0.75,1,9734,0,0.75,1,10128,0,0.75,1,10396,0,0.75,1,10623,0,0.75,1,9702,0,0.75,1,10076,0,0.75,1,10399,0,0.75,1,10593
cf_travel_05_granted,ministral3-14b-2512,404,1,0.6666666666666666,1,2661,1,0.6666666666666666,1,2703,1,0.75,1,2801,1,0.75,1,2843,1,0.75,1,2650,1,0.75,1,2692,1,0.75,1,2790,1,0.75,1,2832
cf_travel_05_stale,ministral3-14b-2512,404,0,0.41666666666666663,2,10070,0,0.41666666666666663,2,10187,0,0.41666666666666663,2,11242,0,0.41666666666666663,2,11557,0,0.41666666666666663,2,10054,0,0.41666666666666663,2,10149,0,0.41666666666666663,2,11222,0,0.41666666666666663,2,11601
cf_travel_05_unknown,ministral3-14b-2512,404,1,0.75,1,7389,0,0.75,1,10067,1,0.75,1,7803,1,0.75,1,10591,0,0.75,1,10056,1,0.75,1,10028,1,0.75,1,7760,1,0.75,1,7821
cf_travel_06_denied,ministral3-14b-2512,404,0,0.41666666666666663,2,9955,0,0.41666666666666663,2,10130,0,0.41666666666666663,2,10632,0,0.41666666666666663,2,10830,0,0.41666666666666663,2,9804,0,0.41666666666666663,2,9953,0,0.41666666666666663,2,10735,0,0.41666666666666663,2,10780
cf_travel_06_granted,ministral3-14b-2512,404,1,0.6666666666666666,1,2714,1,0.6666666666666666,1,2758,1,0.6666666666666666,1,2943,1,0.6666666666666666,1,2987,1,0.6666666666666666,1,2709,1,0.6666666666666666,1,2753,1,0.6666666666666666,1,2938,1,0.6666666666666666,1,2982
cf_travel_06_stale,ministral3-14b-2512,404,1,0.41666666666666663,2,5005,1,0.41666666666666663,2,5059,0,0.41666666666666663,2,10752,1,0.41666666666666663,2,5483,1,0.41666666666666663,2,4962,1,0.41666666666666663,2,5056,1,0.41666666666666663,2,5404,1,0.41666666666666663,2,5459
cf_travel_06_unknown,ministral3-14b-2512,404,1,0.41666666666666663,2,4930,1,0.41666666666666663,2,5015,1,0.41666666666666663,2,5224,1,0.41666666666666663,2,5312,1,0.41666666666666663,2,4913,1,0.41666666666666663,2,4984,1,0.41666666666666663,2,5199,1,0.41666666666666663,2,5283
